timestamp,open_price,high_price,low_price,close_price,crip_id,open_price_percent_increment,high_price_percent_increment,low_price_percent_increment,close_price_percent_increment,price,market_cap,total_volume,price_percent_increment,market_cap_percent_increment,total_volume_percent_increment
2023-08-08,1.80904,1.8188,1.80904,1.8188,apecoin,-0.006916844162403124,-0.0015590347159701867,0.010862762628520262,0.0062628632128709505,1.81868,669830600.0,99694070.0,-0.020329451309509694,-0.02090415911086141,-0.34705163177049325
2023-08-09,1.8463,1.87336,1.8463,1.85713,apecoin,0.0004280659546684884,0.013997293640054087,0.0012472885032537295,0.007120390455531478,1.86171,686071100.0,73782136.0,0.023660017155299418,0.02424568241582281,-0.2599144964188943
2023-08-10,1.82671,1.83112,1.82542,1.83002,apecoin,-0.003670695523169454,-0.001265380923291648,0.003419085312225123,0.0038618086868753565,1.83699,677121300.0,48435070.0,-0.013278115281112557,-0.013045003644665987,-0.3435393358630875
2023-08-11,1.85098,1.87627,1.85098,1.8661,apecoin,0.002062614702490917,0.01069262343650701,0.002062614702490917,0.005214337272815506,1.87021,689575700.0,49481452.0,0.01808393077806625,0.018393159394040515,0.021603808975603878
2023-08-12,1.87605,1.89117,1.87605,1.89111,apecoin,0.014305873193518615,0.0010533670693104735,0.014305873193518615,0.005973785560780431,1.90294,701118400.0,61675630.0,0.017500708476588356,0.016738843900676814,0.24643937287854856
2023-08-13,2.01446,2.02963,2.01331,2.01711,apecoin,0.004247385265760739,0.007825728572350865,0.007738318692594559,0.0016088426760418884,2.01369,740804200.0,155449660.0,0.058199417743071136,0.05660356367768982,1.5204389480901939
2023-08-14,2.01922,2.01922,1.98942,1.98942,apecoin,0.014647725959388236,0.004582066755886682,-0.0003266216766244501,-0.008245428622704387,2.00305,735512260.0,107841020.0,-0.00528383216880457,-0.007143507015753947,-0.3062640342860834
2023-08-15,2.06487,2.0756,2.06487,2.06564,apecoin,-0.016634917611201172,-0.011524907134012774,0.00064937267691767,0.0010225196629076727,2.05775,759791200.0,128609570.0,0.027308354758992515,0.033009565333418145,0.19258488096644477
2023-08-16,1.85293,1.85293,1.83025,1.84873,apecoin,-0.07360447966402528,-0.07360447966402528,-0.0736476090213386,-0.06429424626472846,1.84371,679107800.0,105204640.0,-0.1040165229012271,-0.10619154315027601,-0.1819843577736867
2023-08-17,1.79786,1.79786,1.69396,1.71206,apecoin,-0.006070188629176743,-0.0072940306006945566,-0.05871762528964297,-0.05113283674736191,1.72705,638397630.0,92594424.0,-0.06327459307591754,-0.05994655045929376,-0.11986368662066615
