crip_id,market_cap_percentage,total_market_cap,total_volume
btc,46.218796544207144,42112437.915563844,1213399.7274402021
eth,18.346683257622747,655264864.0126855,18880365.20204124
bnb,2.962486066847623,5203952399.376553,149943217.14824307
xrp,2.5322105010110465,2086118152594.072,60108018510.84934
