timestamp,open_price,high_price,low_price,close_price,crip_id
2023-08-07 04:00:00,23.47155,23.47155,23.39152,23.39152,solana
2023-08-07 08:00:00,23.2665,23.30863,23.0066,23.0066,solana
2023-08-07 12:00:00,23.07197,23.07635,23.01498,23.07635,solana
2023-08-07 16:00:00,23.03785,23.10701,22.79348,22.79348,solana
2023-08-07 20:00:00,22.70763,22.84643,22.5632,22.84643,solana
2023-08-08 00:00:00,22.88505,22.99592,22.88505,22.99339,solana
2023-08-08 04:00:00,23.052,23.11911,23.02586,23.04836,solana
2023-08-08 08:00:00,23.10364,23.26432,23.10364,23.26432,solana
2023-08-08 12:00:00,23.20538,23.27126,23.15312,23.27126,solana
2023-08-08 16:00:00,23.29182,23.45689,23.2028,23.33134,solana
2023-08-08 20:00:00,23.70687,24.22012,23.70687,24.22012,solana
2023-08-09 00:00:00,24.52513,24.52513,24.08317,24.08317,solana
2023-08-09 04:00:00,24.20382,24.39076,24.20382,24.21495,solana
2023-08-09 08:00:00,24.31273,24.42128,24.31273,24.39355,solana
2023-08-09 12:00:00,24.56632,24.70814,24.56632,24.70814,solana
2023-08-09 16:00:00,24.84625,24.95036,24.65172,24.65172,solana
2023-08-09 20:00:00,24.56835,24.56835,24.42365,24.49547,solana
2023-08-10 00:00:00,24.32625,24.35264,24.29431,24.29896,solana
2023-08-10 04:00:00,24.38461,24.43551,24.31838,24.3942,solana
2023-08-10 08:00:00,24.23844,24.27645,24.22949,24.24617,solana
2023-08-10 12:00:00,24.30244,24.42489,24.30244,24.42489,solana
2023-08-10 16:00:00,24.38416,24.70838,24.38416,24.47926,solana
2023-08-10 20:00:00,24.52577,24.53167,24.4579,24.53167,solana
2023-08-11 00:00:00,24.59065,24.64171,24.58752,24.61146,solana
2023-08-11 04:00:00,24.61887,24.75485,24.61887,24.75485,solana
2023-08-11 08:00:00,24.66854,24.77441,24.60904,24.60904,solana
2023-08-11 12:00:00,24.46276,24.49882,24.4044,24.4044,solana
2023-08-11 16:00:00,24.50425,24.76555,24.40557,24.76555,solana
2023-08-11 20:00:00,24.52701,24.54438,24.42986,24.42986,solana
2023-08-12 00:00:00,24.4232,24.59326,24.41329,24.59326,solana
2023-08-12 04:00:00,24.57981,24.7124,24.50799,24.50799,solana
2023-08-12 08:00:00,24.45395,24.47738,24.45009,24.47738,solana
2023-08-12 12:00:00,24.52672,24.52672,24.45245,24.5037,solana
2023-08-12 16:00:00,24.52493,24.63047,24.52493,24.63047,solana
2023-08-12 20:00:00,24.60883,24.76385,24.60883,24.76385,solana
2023-08-13 00:00:00,24.71722,24.97959,24.71722,24.97959,solana
