last,volume,bid_ask_spread_percentage,converted_last_btc,converted_last_eth,converted_last_usd,converted_volume_btc,converted_volume_eth,converted_volume_usd
1.3332230286523526e-08,6.37119214180159e-08,0.008247148939891593,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,0.0008501432875176685,0.0008502230573479599,0.0008498139076435152
1.3394754352271294e-08,1.0407635748591827e-07,0.008247580082645615,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,0.0013952610030920057,0.0013953910993095365,0.0013947205744221838
1.5166119688090617e-12,6.524615833133812e-05,0.00824923511450783,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,9.903726030711208e-05,9.904652307079757e-05,9.89990691821197e-05
4.827653124146347e-10,3.378227437713422e-07,0.008255243297402591,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,0.0001632275602120429,0.00016324380296491722,0.00016316499112181264
8.731698428782377e-11,5.1065141153235215e-06,0.008256814882280156,0.0008148681690866189,0.0008148905945303667,0.0008148421886843106,0.0004477346522657848,0.0004477777414818995,0.00044756089293794896
1.2486474814011407e-08,2.4843619212443247e-08,0.008260264024312335,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,0.00031047264153283353,0.00031050271294566365,0.0003103516705734104
1.275421726798704e-08,2.0361900426088766e-08,0.008270667081731969,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,0.0002599206262251769,0.00025994444423308713,0.000259820007701242
4.603578884535432e-10,7.135071490105697e-08,0.008266814612607318,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,3.287474668393146e-05,3.287782621395098e-05,3.28616400968588e-05
1.005508794213079e-09,8.043121910966116e-08,0.008268511367961856,0.0008148681690866189,0.0008148905945303667,0.0008148421886843106,8.12097156956562e-05,8.121730491412996e-05,8.117875520210779e-05
1.1986442617895116e-09,8.085810069792297e-09,0.008271960509994035,0.0008114708449889444,0.0008114302513411191,0.0008113842329106016,8.044506364290581e-05,8.04466508429176e-05,8.042085221184079e-05
8.793167488972976e-11,3.054836940993315e-06,0.008341791728314864,0.0008148681690866189,0.0008148295938617866,0.0008148421886843106,0.0002697309502550511,0.00026973586531240236,0.00026965196020578157
1.4599594819701845e-05,1.435487174431595e-12,0.00830666054777744,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,2.0975317791511132e-05,2.0977282780611487e-05,2.096718411937559e-05
1.3332032996937917e-08,3.1107772236892478e-09,0.008317091420858623,0.0008149680903836092,0.0008149881956000949,0.0008148421886843106,4.164996360510671e-05,4.1653869175465375e-05,4.1633487785898315e-05
9.222627339098774e-12,8.285328117229952e-08,0.008361791188969188,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,7.647645697421929e-07,7.648359943725075e-07,7.644644485661768e-07
9.365338539124903e-07,4.736075597285876e-11,0.008384544400116942,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,4.439261158150607e-05,4.4396763512078065e-05,4.437568953338332e-05
2.522925400929429e-07,6.17617930419649e-10,0.008381276059884838,0.0008079236389457842,0.0008079480763336426,0.0008079262771368926,7.29312861456016e-06,7.2938105816475996e-06,7.29029700602712e-06
1.1996724301431427e-09,2.3345563458707615e-09,0.008396324332783292,0.0008141187593591906,0.0008140789645821,0.0008140737540679308,2.7499091761041005e-05,2.749963090405169e-05,2.749101798751621e-05
1.2006134049866026e-09,1.3924120605117786e-10,0.008387395505425799,0.0008121003491599841,0.0008121192378399244,0.0008121526675269813,1.6355790117452673e-06,1.6357319241114238e-06,1.6349496108684004e-06
1.872844445562161e-12,2.416491059148004e-06,0.00841005136175813,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,4.529550144420742e-06,4.529975488077394e-06,4.527788575047615e-06
3.7364123954354645e-11,3.2232521537323587e-07,0.00845694856713113,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,1.2053616947036804e-05,1.2054745404455874e-05,1.204893643500096e-05
3.460689450299824e-11,6.018352676309189e-09,0.008472344535798959,0.0008148681690866189,0.0008148295938617866,0.0008148421886843106,2.0913086065667194e-07,2.0913481046863755e-07,2.090686602344461e-07
3.898863840316251e-11,1.0986522052973495e-07,0.008532648890038973,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,4.287123456676698e-06,4.287523543022509e-06,4.285467481851491e-06
5.981969407864673e-11,3.3657142953665674e-08,0.008538684888595285,0.0008148681690866189,0.0008148905945303667,0.0008148421886843106,2.021700637305222e-06,2.021889853883124e-06,2.020920502894877e-06
9.247145155582677e-11,1.2759752220515166e-07,0.008600602551205191,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,1.1809137932018502e-05,1.1810243221899532e-05,1.1804552694426261e-05
7.553364905085358e-11,5.090382404401254e-08,0.008770723137243907,0.0008148681690866189,0.0008148905945303667,0.0008148421886843106,3.860888691063958e-06,3.8612505647210084e-06,3.859394887302027e-06
1.5730613225235993e-12,2.4596613259745154e-07,0.008807078206889524,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,3.8723950838513877e-07,3.872755364201475e-07,3.8709591537437673e-07
4.324298090579348e-12,3.3796914215449756e-06,0.009069477250119778,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,1.4627200408647347e-05,1.462857132942631e-05,1.4621521412005966e-05
6.731023892462393e-11,1.1839057885498177e-08,0.008968186518586099,0.0008121902783272755,0.0008122059230005384,0.0008121526675269813,7.97557298830308e-07,7.976316415608952e-07,7.972429534194962e-07
